Page,Device,Group,ItemID,Item,Value
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Текущая частота,1600 MT/s
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Общая ширина,64 бит
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Ширина данных,64 бит
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Ranks,2
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Размещение,ChannelA-DIMM0
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Банк,BANK 0
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Производитель,Samsung
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Серийный номер,21941291
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Тег имущества,9876543210
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Шифр компонента,M378B1G73QH0-CMA
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Форм-фактор,DIMM
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Размещение,ChannelB-DIMM0
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Банк,BANK 2
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Производитель,[Empty]
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Серийный номер,[Empty]
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Тег имущества,9876543210
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Шифр компонента,[Empty]
DMI,Системные разъёмы / PCIEX16_1,Свойства системного разъёма,0,Назначение разъёма,PCIEX16_1
DMI,Системные разъёмы / PCIEX16_1,Свойства системного разъёма,0,Тип,PCI-E
DMI,Системные разъёмы / PCIEX16_1,Свойства системного разъёма,0,Использование,Empty
DMI,Системные разъёмы / PCIEX16_1,Свойства системного разъёма,0,Ширина шины данных,x16
DMI,Системные разъёмы / PCIEX16_1,Свойства системного разъёма,0,Длина,Long
DMI,Системные разъёмы / PCIEX1_1,Свойства системного разъёма,0,Назначение разъёма,PCIEX1_1
DMI,Системные разъёмы / PCIEX1_1,Свойства системного разъёма,0,Тип,PCI-E
DMI,Системные разъёмы / PCIEX1_1,Свойства системного разъёма,0,Использование,Empty
DMI,Системные разъёмы / PCIEX1_1,Свойства системного разъёма,0,Ширина шины данных,x1
DMI,Системные разъёмы / PCIEX1_1,Свойства системного разъёма,0,Длина,Short
DMI,Системные разъёмы / PCIEX1_2,Свойства системного разъёма,0,Назначение разъёма,PCIEX1_2
DMI,Системные разъёмы / PCIEX1_2,Свойства системного разъёма,0,Тип,PCI-E
DMI,Системные разъёмы / PCIEX1_2,Свойства системного разъёма,0,Использование,Empty
DMI,Системные разъёмы / PCIEX1_2,Свойства системного разъёма,0,Ширина шины данных,x1
DMI,Системные разъёмы / PCIEX1_2,Свойства системного разъёма,0,Длина,Short
DMI,Системные разъёмы / PCIEX1_3,Свойства системного разъёма,0,Назначение разъёма,PCIEX1_3
DMI,Системные разъёмы / PCIEX1_3,Свойства системного разъёма,0,Тип,PCI-E
DMI,Системные разъёмы / PCIEX1_3,Свойства системного разъёма,0,Использование,Empty
DMI,Системные разъёмы / PCIEX1_3,Свойства системного разъёма,0,Ширина шины данных,x1
DMI,Системные разъёмы / PCIEX1_3,Свойства системного разъёма,0,Длина,Short
DMI,Разъёмы портов / PS/2 Mouse,Свойства разъёма порта,0,Тип порта,Keyboard Port
DMI,Разъёмы портов / PS/2 Mouse,Свойства разъёма порта,0,Внутреннее обозначение,PS/2 Mouse
DMI,Разъёмы портов / PS/2 Mouse,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / PS/2 Mouse,Свойства разъёма порта,0,Внешнее обозначение,PS/2 Mouse
DMI,Разъёмы портов / PS/2 Mouse,Свойства разъёма порта,0,Внешний тип разъёма,PS/2
DMI,Разъёмы портов / PS/2 Keyboard,Свойства разъёма порта,0,Тип порта,Keyboard Port
DMI,Разъёмы портов / PS/2 Keyboard,Свойства разъёма порта,0,Внутреннее обозначение,PS/2 Keyboard
DMI,Разъёмы портов / PS/2 Keyboard,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / PS/2 Keyboard,Свойства разъёма порта,0,Внешнее обозначение,PS/2 Keyboard
DMI,Разъёмы портов / PS/2 Keyboard,Свойства разъёма порта,0,Внешний тип разъёма,PS/2
DMI,Разъёмы портов / USB3_E12,Свойства разъёма порта,0,Тип порта,USB
DMI,Разъёмы портов / USB3_E12,Свойства разъёма порта,0,Внутреннее обозначение,USB3_E12
DMI,Разъёмы портов / USB3_E12,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / USB3_E12,Свойства разъёма порта,0,Внешнее обозначение,USB3_E12
DMI,Разъёмы портов / USB3_E12,Свойства разъёма порта,0,Внешний тип разъёма,USB
DMI,Разъёмы портов / LAN_USB34,Свойства разъёма порта,0,Тип порта,USB
DMI,Разъёмы портов / LAN_USB34,Свойства разъёма порта,0,Внутреннее обозначение,LAN_USB34
DMI,Разъёмы портов / LAN_USB34,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / LAN_USB34,Свойства разъёма порта,0,Внешнее обозначение,LAN_USB34
DMI,Разъёмы портов / LAN_USB34,Свойства разъёма порта,0,Внешний тип разъёма,USB
DMI,Разъёмы портов / USB5_6,Свойства разъёма порта,0,Тип порта,USB
DMI,Разъёмы портов / USB5_6,Свойства разъёма порта,0,Внутреннее обозначение,USB5_6
DMI,Разъёмы портов / USB5_6,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / USB5_6,Свойства разъёма порта,0,Внешнее обозначение,USB5_6
DMI,Разъёмы портов / USB5_6,Свойства разъёма порта,0,Внешний тип разъёма,USB
DMI,Разъёмы портов / GbE LAN,Свойства разъёма порта,0,Тип порта,Network Port
DMI,Разъёмы портов / GbE LAN,Свойства разъёма порта,0,Внутреннее обозначение,GbE LAN
DMI,Разъёмы портов / GbE LAN,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / GbE LAN,Свойства разъёма порта,0,Внешнее обозначение,GbE LAN
DMI,Разъёмы портов / GbE LAN,Свойства разъёма порта,0,Внешний тип разъёма,RJ-45
DMI,Разъёмы портов / AUDIO,Свойства разъёма порта,0,Тип порта,Audio Port
DMI,Разъёмы портов / AUDIO,Свойства разъёма порта,0,Внутреннее обозначение,AUDIO
DMI,Разъёмы портов / AUDIO,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / AUDIO,Свойства разъёма порта,0,Внешнее обозначение,AUDIO
DMI,Разъёмы портов / DVI port,Свойства разъёма порта,0,Внутреннее обозначение,DVI
DMI,Разъёмы портов / DVI port,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / DVI port,Свойства разъёма порта,0,Внешнее обозначение,DVI port
DMI,Разъёмы портов / VGA port,Свойства разъёма порта,0,Внутреннее обозначение,VGA
DMI,Разъёмы портов / VGA port,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / VGA port,Свойства разъёма порта,0,Внешнее обозначение,VGA port
DMI,Разъёмы портов / HDMI port,Свойства разъёма порта,0,Внутреннее обозначение,HDMI
DMI,Разъёмы портов / HDMI port,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / HDMI port,Свойства разъёма порта,0,Внешнее обозначение,HDMI port
DMI,Разъёмы портов / SATA6G_1,Свойства разъёма порта,0,Тип порта,SATA
DMI,Разъёмы портов / SATA6G_1,Свойства разъёма порта,0,Внутреннее обозначение,SATA6G_1
DMI,Разъёмы портов / SATA6G_1,Свойства разъёма порта,0,Внутренний тип разъёма,SATA/SAS Plug Receptacle
DMI,Разъёмы портов / SATA6G_1,Свойства разъёма порта,0,Внешний тип разъёма,None
DMI,Разъёмы портов / SATA6G_2,Свойства разъёма порта,0,Тип порта,SATA
DMI,Разъёмы портов / SATA6G_2,Свойства разъёма порта,0,Внутреннее обозначение,SATA6G_2
DMI,Разъёмы портов / SATA6G_2,Свойства разъёма порта,0,Внутренний тип разъёма,SATA/SAS Plug Receptacle
DMI,Разъёмы портов / SATA6G_2,Свойства разъёма порта,0,Внешний тип разъёма,None
