Page,Device,Group,ItemID,Item,Value
DMI,Intel vPro,Свойства Intel vPro,0,Anti-Theft,Не поддерживается
DMI,Intel vPro,Свойства Intel vPro,0,Anti-Theft PBA for Recovery,Не поддерживается
DMI,Intel vPro,Свойства Intel vPro,0,Anti-Theft WWAN,Не поддерживается
DMI,Intel vPro,Свойства Intel vPro,0,BIOS TXT,Не поддерживается
DMI,Intel vPro,Свойства Intel vPro,0,BIOS VT-d,Не поддерживается
DMI,Intel vPro,Свойства Intel vPro,0,BIOS VT-x,Не поддерживается
DMI,Intel vPro,Свойства Intel vPro,0,CPU VT-x,Поддерживается; Запрещено
DMI,Intel vPro,Свойства Intel vPro,0,CPU TXT,Не поддерживается
DMI,Intel vPro,Свойства Intel vPro,0,KVM,Не поддерживается
DMI,Intel vPro,Свойства Intel vPro,0,Local Wakeup Timer,Не поддерживается
DMI,Intel vPro,Свойства Intel vPro,0,Management Engine,Разрешено
DMI,Intel vPro,Свойства Intel vPro,0,Small Business Advantage,Не поддерживается
DMI,Intel vPro,Свойства Intel vPro,0,Standard Manageability,Не поддерживается
DMI,Разное,Разное,0,OEM String,FBYTE#3X47676J6S6Z6b7J7M7Q7W7saBaqawce.Q7;
DMI,Разное,Разное,0,OEM String,BUILDID#14WWR4DW601#SACB#DACB;
DMI,Разное,Разное,0,OEM String,ABS 70/71 79 7A 7B 7C
DMI,Разное,Разное,0,OEM String,CSM v01.5B
DMI,Разное,Разное,0,OEM String,HP_Mute_LED_0_0
DMI,Разное,Разное,0,OEM String,www.hp.com
Разгон,,Свойства ЦП,0,Тип ЦП,Mobile DualCore Intel Core i5-5200U
Разгон,,Свойства ЦП,0,Псевдоним ЦП,Broadwell-U
Разгон,,Свойства ЦП,0,Степпинг ЦП,E0/F0
Разгон,,Свойства ЦП,0,Engineering Sample,Нет
Разгон,,Свойства ЦП,0,Имя ЦП CPUID,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz
Разгон,,Свойства ЦП,0,Версия CPUID,000306D4h
Разгон,,Свойства ЦП,0,CPU VID,0.9261 V
Разгон,,Частота ЦП,0,Частота ЦП,2195.0 MHz  (исходное: 2200 MHz)
Разгон,,Частота ЦП,0,Множитель ЦП,22x
Разгон,,Частота ЦП,0,CPU FSB,99.8 MHz  (исходное: 100 MHz)
Разгон,,Частота ЦП,0,Частота северного моста,2195.0 MHz
Разгон,,Частота ЦП,0,Шина памяти,798.2 MHz
Разгон,,Частота ЦП,0,Соотношение DRAM:FSB,24:3
Разгон,,Кэш ЦП,0,Кэш L1 кода,32 КБ per core
Разгон,,Кэш ЦП,0,Кэш L1 данных,32 КБ per core
Разгон,,Кэш ЦП,0,Кэш L2,256 КБ per core  (On-Die; ECC; Full-Speed)
Разгон,,Кэш ЦП,0,Кэш L3,3 МБ  (On-Die; ECC; Full-Speed)
Разгон,,Свойства системной платы,0,ID системной платы,<DMI>
Разгон,,Свойства системной платы,0,Системная плата,HP 2248
Разгон,,Свойства набора микросхем (чипсета),0,Чипсет системной платы,Intel Wildcat Point-LP; Intel Broadwell
Разгон,,Свойства набора микросхем (чипсета),0,Тайминги памяти,11-11-11-28  (CL-RCD-RP-RAS)
Разгон,,Свойства набора микросхем (чипсета),0,Command Rate (CR),1T
Разгон,,Свойства BIOS,0,Дата BIOS системы,03/17/2015
Разгон,,Свойства BIOS,0,Дата BIOS видеоадаптера,14/10/23
Разгон,,Свойства BIOS,0,DMI версия BIOS,M73 Ver. 01.11
Разгон,,Свойства графического процессора,0,Видеоадаптер,Intel Broadwell-U GT2 - Integrated Graphics Controller [F-0]
Разгон,,Свойства графического процессора,0,Кодовое название ГП,Broadwell-U GT2  (Integrated 8086 / 1616; Rev 09)
Разгон,,Свойства графического процессора,0,Частота ГП,898 МГц  (original: 299 MHz)
Электропитание,,Свойства электропитания,0,Текущий источник питания,Батарея
Электропитание,,Свойства электропитания,0,Состояние батарей,73 % (Высокий уровень)
Электропитание,,Свойства электропитания,0,Полное время работы от батарей,Неизвестно
Электропитание,,Свойства электропитания,0,Оставшееся время работы от батарей,9591 сек (2 час.; 39 мин; 51 сек)
Электропитание,,Свойства батареи,0,Имя устройства,Первичный
Электропитание,,Свойства батареи,0,Производитель,Hewlett-Packard
Электропитание,,Свойства батареи,0,Серийный номер,00691 2015/03/22
Электропитание,,Свойства батареи,0,Идентификатор,00691 2015/03/22Hewlett-PackardPrimary
Электропитание,,Свойства батареи,0,Тип батареи,Перезаряжаемая Li-Ion
Электропитание,,Свойства батареи,0,Паспортная ёмкость,36216 mWh
Электропитание,,Свойства батареи,0,Ёмкость при полной зарядке,36216 mWh
Электропитание,,Свойства батареи,0,Текущая ёмкость,26418 mWh  (73 %)
Электропитание,,Свойства батареи,0,Напряжение батареи,15.471 V
Электропитание,,Свойства батареи,0,Степень изношенности,0 %
Электропитание,,Свойства батареи,0,Состояние,Разрядка
Электропитание,,Свойства батареи,0,Скорость разрядки,9531 mW
Портативный ПК,,Centrino (Carmel) совместимость платформы,0,ЦП: Intel Pentium M (Banias/Dothan),Нет  (Mobile Intel Core i5-5200U)
